"DispNum","StDay","StMon","StYear","EndDay","EndMon","EndYear","Outcome","Settle","Fatality","FatalPre","MaxDur","MinDur","HiAct","HostLev","Recip","NumA","NumB","Link1","Link2","Link3","Ongo2001","Version"
3226,17,5,1976,17,5,1976,5,3,-9,-9,1,1,17,4,1,1,1,0,0,0,0,3.1
3227,24,9,1974,5,10,1974,5,3,-9,-9,12,12,16,4,1,1,1,0,0,0,0,3.1
3228,14,9,1939,19,9,1939,8,3,0,0,6,6,15,4,0,1,1,0,0,0,0,3.1
3229,7,1,1949,4,4,1949,5,3,1,-9,88,88,16,4,1,1,2,0,0,0,0,3.1
3230,1,1,1957,22,1,1959,5,3,2,-9,752,752,17,4,1,1,1,0,0,0,0,3.1
3231,15,8,1959,20,8,1961,5,3,2,-9,737,737,17,4,1,1,1,0,0,0,0,3.1
3232,8,3,1895,8,3,1895,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3233,-9,3,1825,-9,3,1825,1,3,0,0,31,1,16,4,0,2,1,0,0,0,0,3.1
3234,-9,11,1824,-9,11,1824,1,3,0,0,30,1,16,4,0,1,1,0,0,0,0,3.1
3235,-9,10,1824,-9,10,1824,5,3,0,0,31,1,16,4,0,1,1,0,0,0,0,3.1
3236,8,4,1823,23,10,1823,5,3,0,0,199,199,16,4,0,1,1,0,0,0,0,3.1
3237,-9,9,1822,-9,9,1822,1,3,0,0,30,1,16,4,0,1,1,0,0,0,0,3.1
3238,-9,6,1817,-9,6,1817,1,3,0,0,30,1,16,4,0,1,1,0,0,0,0,3.1
3239,27,7,1816,27,7,1816,1,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3242,29,3,1955,-9,4,1955,7,3,0,0,33,4,15,4,0,1,1,0,0,0,0,3.1
3243,29,1,1955,-9,2,1955,7,3,0,0,31,4,15,4,0,1,1,0,0,0,0,3.1
3244,29,10,1962,1,11,1962,7,3,0,0,4,4,15,4,0,1,1,0,0,0,0,3.1
3245,-9,6,1862,-9,10,1864,4,1,-9,-9,884,825,17,4,1,1,1,0,0,0,0,3.1
3247,-9,7,1871,-9,1,1872,1,2,0,0,215,155,14,4,0,1,1,0,0,0,0,3.1
3249,-9,7,1891,-9,10,1892,4,3,0,0,489,429,14,4,1,1,1,0,0,0,0,3.1
